Industries,Group ,Subgroup,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nursing and residential care facilities,"Health, Education & Leisure",,95210,102019,105887,112514,121170,128403,137359,144515,154849,163223,172641,181439,186613,195744,201889,208980,213753,221232,231036,239586,243885,250227,261253,257003,263869,286047,317104
Social assistance,"Health, Education & Leisure",,61571,66301,73770,83129,93656,100550,106435,110170,116918,124442,134045,145407,153539,162751,164574,169679,174758,184593,195411,209158,224460,236289,247852,254006,278934,304328,334871
"Performing arts, spectator sports, museums, and related activities","Health, Education & Leisure",,59320,64582,69219,75862,83003,90983,97450,101126,106412,116441,126654,131788,133261,134046,136603,144768,151119,162433,174088,183084,198999,212139,224384,155199,206966,263529,280879
"Amusements, gambling, and recreation industries","Health, Education & Leisure",,68085,68944,73352,75595,76986,76289,83026,90769,95620,106274,114911,115811,110875,111863,115559,119836,125114,130456,137533,144492,153499,162145,172324,136071,181174,213501,236832
Accommodation,"Health, Education & Leisure",,116530,123773,133824,150320,144684,147637,151230,163143,177343,187376,192814,198026,181943,185670,198744,214978,226043,244145,258602,269315,282916,297971,306476,182521,248379,335208,374518
Food services and drinking places,"Health, Education & Leisure",,306982,325008,342094,368399,384932,405501,426226,452151,475505,502277,521469,532912,529055,547649,579126,613982,639734,680436,739288,776241,817531,863303,909020,775213,1019975,1174081,1296355
"Other services, except government","Health, Education & Leisure",,352088,384089,402272,425687,442392,458145,468662,487566,497239,523380,536252,550403,521374,534811,548679,576030,587209,626463,650679,682179,708881,741303,776759,726690,804541,927326,1016534
General government,Professional & Public Services,,465133,464486,481408,503927,535967,592370,665103,718374,764964,805586,841107,922626,981755,1049369,1054974,1046679,1003164,998979,1000597,1012987,1029643,1086982,1143292,1220401,1302819,1343481,1419926
National defense,Professional & Public Services,General government,304866,300962,313270,321572,339792,374582,428318,466347,497159,522569,549978,606076,637328,675588,688109,676302,636593,623624,610655,611982,624290,659499,702344,725941,750397,768246,825955
Nondefense,Professional & Public Services,General government,160267,163523,168137,182355,196175,217788,236785,252026,267805,283017,291130,316550,344427,373781,366865,370377,366571,375356,389942,401004,405353,427483,440949,494461,552421,575236,593971
Government enterprises,Professional & Public Services,Government enterprises,76945,78162,81479,83955,84055,87599,87305,88209,89419,96716,100858,102573,99021,98495,95645,98913,95628,98141,98133,97758,94811,98759,98900,100641,111565,115054,109654
General government,Professional & Public Services,State and local,993509,1052851,1130644,1216283,1308137,1375495,1420041,1490491,1573758,1663756,1768728,1857129,1891275,1916857,1928683,1947061,2021444,2077352,2140227,2200230,2268884,2383827,2503853,2598729,2773428,3004714,3108025
Government enterprises,Professional & Public Services,State and local,130151,134826,141181,146887,152192,160511,170482,182420,195799,211977,223395,240504,256445,273208,286528,298569,311308,322640,332302,340953,354249,372379,382401,346256,390656,438219,459838
